INDEX,POS1,POS2,CNTX,OBJ1,OBJ2,STAR
443,0,1,2,0,0,0.514705882
444,0,1,2,0,0,0.536764706
445,0,1,2,0,0,0.558823529
446,0,1,2,0,0,0.580882353
447,0,1,2,0,0,0.602941176
448,0,1,2,0,0,0.625
449,0,1,2,0,0,0.647058824
450,0,1,2,0,0,0.669117647
451,0,1,2,0,0,0.691176471
452,0,1,2,0,0,0.713235294
453,0,1,2,0,0,0.735294118
454,0,1,2,0,0,0.757352941
455,0,1,2,0,0,0.779411765
456,0,1,2,0,0,0.801470588
457,0,1,2,0,0,0.823529412
458,0,1,2,0,0,0.845588235
459,0,1,2,0,0,0.867647059
460,0,1,2,0,0,0.889705882
461,0,1,2,0,0,0.911764706
462,0,1,2,0,0,0.933823529
463,0,1,2,0,0,0.955882353
464,0,1,2,0,0,0.977941176
465,0,1,2,0,0,1
466,0,0,2,0,0,0
467,0,0,2,0,0,0
468,0,0,2,0,0,0
469,0,0,2,0,0,0
470,0,0,2,0,0,0
471,0,0,2,0,0,0
472,0,0,2,0,0,0
473,0,0,2,0,0,0
474,0,0,2,0,0,0
475,0,0,2,0,0,0
476,0,0,2,0,0,0
477,0,0,2,0,0,0
478,0,0,2,0,0,0
479,0,0,2,0,0,0
480,0,0,2,0,0,0
481,0,0,2,0,0,0
482,0,0,2,0,0,0
483,0,0,2,0,0,0
484,0,0,2,0,0,0
485,0,0,2,0,0,0
486,0,0,2,0,0,0
487,0,0,2,0,0,0
488,0,0,2,0,0,0
489,0,0,2,0,0,0
490,1,0,2,0,0,0
491,1,0,2,0,0,0
492,1,0,2,0,0,0
493,1,0,2,0,0,0
494,1,0,2,0,0,0
495,1,0,2,0,0,0
496,1,0,2,0,0,0
497,1,0,2,0,0,0
498,1,0,2,0,0.25,0
499,1,0,2,0,0.272058824,0
500,1,0,2,0,0.294117647,0
501,1,0,2,0,0.316176471,0
502,1,0,2,0,0.338235294,0
503,1,0,2,0,0.360294118,0
504,1,0,2,0,0.382352941,0
505,1,0,2,0,0.404411765,0
506,1,0,2,0,0.426470588,0
